"","Date","Location","loc_temp","Taxon","Sample_ID","Body_Length_cm","Weight_g","Size_cat","Time_sec","Distance_cm","Acclim_temp","test","Temp","end_time_s","Notes","X","movement","speed","temp_range"
"141","19-Jun-25","Kobbefjord",7.6,"wolf_spider","K19-WS17",NA,0.0469,"L",14.18,25,NA,"",NA,"","acclimated at cold","","yes",1.76304654442877,"5-10"
"142","19-Jun-25","Kobbefjord",7.4,"wolf_spider","K19-WS18",NA,0.0268,"S",11,25,NA,"",NA,"","acclimated at cold","","yes",2.27272727272727,"5-10"
"143","19-Jun-25","Kobbefjord",13.8,"wolf_spider","K19-WS19",NA,0.0096,"S",4.29,25,NA,"",NA,"","acclimated at ambient","","yes",5.82750582750583,"10-15"
"144","19-Jun-25","Kobbefjord",13.9,"wolf_spider","K19-WS20",NA,0.0484,"L",7.14,16,NA,"",NA,"","acclimated at ambient","","yes",2.24089635854342,"10-15"
"145","19-Jun-25","Kobbefjord",13.7,"wolf_spider","K19-WS21",NA,0.0048,"S",5.32,25,NA,"",NA,"","acclimated at ambient","","yes",4.69924812030075,"10-15"
"146","19-Jun-25","Kobbefjord",13.7,"wolf_spider","K19-WS22",NA,0.0083,"S",5.71,25,NA,"",NA,"","acclimated at ambient","","yes",4.37828371278459,"10-15"
"147","19-Jun-25","Kobbefjord",14.2,"wolf_spider","K19-WS23",NA,0.0112,"S",5.46,4,NA,"",NA,"","acclimated at ambient","","yes",0.732600732600733,"10-15"
"148","19-Jun-25","Kobbefjord",13.8,"wolf_spider","K19-WS24",NA,0.053,"L",5.6,4,NA,"",NA,"","acclimated at ambient","","yes",0.714285714285714,"10-15"
"149","19-Jun-25","Kobbefjord",13.9,"wolf_spider","K19-WS25",NA,0.0593,"L",8.37,25,NA,"",NA,"","acclimated at ambient","","yes",2.9868578255675,"10-15"
"150","19-Jun-25","Kobbefjord",13.8,"wolf_spider","K19-WS26",NA,0.04551,"L",2.31,25,NA,"",NA,"","acclimated at ambient","","yes",10.8225108225108,"10-15"
"151","19-Jun-25","Kobbefjord",14.1,"wolf_spider","K19-WS27",NA,0.0566,"L",2.51,25,NA,"",NA,"","acclimated at ambient","","yes",9.9601593625498,"10-15"
"152","19-Jun-25","Kobbefjord",26.8,"wolf_spider","K19-WS28",NA,0.0568,"L",3.25,25,NA,"",NA,"","acclimated at ambient","","yes",7.69230769230769,"25-30"
"153","19-Jun-25","Kobbefjord",26.7,"wolf_spider","K19-WS29",NA,0.0195,"S",7.42,11,NA,"",NA,"","acclimated at hot","","yes",1.48247978436658,"25-30"
"154","19-Jun-25","Kobbefjord",26.8,"wolf_spider","K19-WS30",NA,0.0564,"L",2.05,25,NA,"",NA,"","acclimated at hot","","yes",12.1951219512195,"25-30"
"155","19-Jun-25","Kobbefjord",27.4,"wolf_spider","K19-WS31",NA,0.0431,"L",2.3,25,NA,"",NA,"","acclimated at ambient","","yes",10.8695652173913,"25-30"
"156","19-Jun-25","Kobbefjord",26.9,"wolf_spider","K19-WS32",NA,0.035,"S",6.37,25,NA,"",NA,"","acclimated at ambient","","yes",3.92464678178964,"25-30"
"157","19-Jun-25","Kobbefjord",27.4,"wolf_spider","K19-WS33",NA,0.0512,"L",3.75,25,NA,"",NA,"","acclimated at hot","","yes",6.66666666666667,"25-30"
"158","19-Jun-25","Kobbefjord",28,"wolf_spider","K19-WS34",NA,NA,NA,1.39,25,NA,"",NA,"","acclimated at hot","","yes",17.9856115107914,"25-30"
"159","19-Jun-25","Kobbefjord",27.8,"wolf_spider","K19-WS35",NA,NA,NA,7.8,25,NA,"",NA,"","acclimated at ambient","","yes",3.20512820512821,"25-30"
"160","19-Jun-25","Kobbefjord",36.5,"wolf_spider","K19-WS36",NA,NA,NA,2.5,25,NA,"",NA,"","acclimated at hot","","yes",10,"35-40"
